"Mental health indicators c 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0465-01 (formerly CANSIM 105-1101)"
"Release date: 2024-12-12"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 5","Canada",,,,,
"Age group","Total, 15 years and over",,,,,
"Gender 6 7","Men+",,,,,
"Characteristics 8 9 10 11 12 13 14 15 16 17 18","Number of persons",,,"Percent",,
"Indicators 2","2002","2012","2022","2002","2012","2022"
,"Number",,,"Percent",,
"Any selected disorder (mental or substance), excluding social phobia, life 19 20 21 22 23 24 25 26 27 28 29","..","5,177,155","5,525,200","..","38.1","39.0"
"Any selected disorder (mental or substance), excluding social phobia, 12 months 19 21 22 23 24 25 26 27 28 29 30","..","1,434,867","1,697,300","..","10.6","12.4"
"Any mood disorder, life 19 21 22 31","..","1,388,452","1,873,700","..","10.0","12.6"
"Any mood disorder, 12 months 19 21 22 32","..","604,963","995,600","..","4.4","6.7"
"Major depressive episode, life 19 21 33","1,125,806","1,179,264","1,622,700","9.2","8.5","10.8"
"Major depressive episode, 12 months 19 21 34","451,618","503,253","865,000","3.7","3.6","5.7"
"Bipolar disorder, life 19 22 35","..","376,341","532,200","..","2.7","3.5"
"Bipolar disorder, 12 months 19 22 36","..","219,673","308,800","..","1.6","2.0"
"Generalized anxiety disorder, life 19 23 37","..","836,464","1,479,800","..","6.0","10.0"
"Generalized anxiety disorder, 12 months 19 23 38","..","270,458","533,800","..","2.0","3.6"
"Any substance use disorder (alcohol or drug), life 19 24 25 26 27 28 29 39 40","..","4,236,337","4,103,700","..","31.1","28.2"
"Any substance use disorder (alcohol or drug), 12 months 19 24 25 26 27 28 29 40 41","..","864,069","662,800","..","6.4","4.6"
"Alcohol abuse or dependence, life 19 24 25 42","..","3,660,690","3,466,100","..","26.6","23.1"
"Alcohol abuse or dependence, 12 months 19 24 25 43","..","643,704","384,600","..","4.7","2.6"
"Cannabis abuse or dependence, life 19 26 27 40 44","..","1,363,236","1,430,600","..","9.9","9.7"
"Cannabis abuse or dependence, 12 months 19 26 27 40 45","..","267,851","290,300","..","1.9","2.0"
"Other drug abuse or dependence (excluding cannabis), life 19 28 29 40 46","..","697,266","720,800","..","5.1","4.8"
"Other drug abuse or dependence (excluding cannabis), 12 months 19 28 29 40 47","..","117,400","104,600","..","0.9","0.7"
"Cannabis use, life 40 48","5,757,706","6,871,608","7,975,400","47.0","49.4","51.8"
"Cannabis use, 12 months 40 49","1,896,196","2,236,815","3,935,600","15.5","16.1","25.6"
"Other drug use (excluding cannabis), life 40 50","..","3,650,169","3,966,800","..","26.3","25.8"
"Other drug use (excluding cannabis), 12 months 40 51","..","936,736","1,087,700","..","6.8","7.2"
"Suicidal thoughts, life 52","1,507,262","1,479,453","1,578,500","12.3","10.7","10.3"
"Suicidal thoughts, 12 months 53","440,484","446,499","496,600","3.6","3.2","3.3"
"Perceived mental health, very good or excellent 54","8,476,860","9,337,259","8,686,800","69.0","67.0","56.3"
"Perceived mental health, good 54","3,062,095","3,706,408","4,583,200","24.9","26.6","29.7"
"Perceived mental health, fair or poor 54","742,530","902,355","2,167,000","6.0","6.5","14.0"
"Self-rated work stress, days quite a bit or extremely stressful 55","2,769,487","2,644,543","2,413,400","28.9","24.8","22.1"
"Self-rated work stress, days a bit stressful 55","3,815,635","4,663,018","4,715,600","39.8","43.8","43.1"
"Self-rated work stress, days not at all or not very stressful 55","3,011,273","3,346,444","3,806,000","31.4","31.4","34.8"
"Perceived need for mental health care, no need 56","..","12,039,863","12,124,500","..","86.7","81.3"
"Perceived need for mental health care, all needs met 56","..","1,227,036","1,628,500","..","8.8","10.9"
"Perceived need for mental health care, needs partially met 56","..","378,803","690,900","..","2.7","4.6"
"Perceived need for mental health care, need not met 56","..","239,129","476,200","..","1.7","3.2"
"Mental health services, professional consultation/service used, 12 months 57","..","1,124,373","1,836,300","..","8.1","12.0"
"Schizophrenia or psychosis, ever received diagnosis 58","..","168,446","285,700","..","1.2","1.9"
"Post-traumatic stress disorder, current diagnosed condition 59","106,138","136,626","351,200","0.9","1.0","2.3"
"Eating disorder, current diagnosed condition 60","20,316E","27,335E","66,200","0.2E","0.2E","0.4"
"Attention deficit disorder, current diagnosed condition 61","..","462,779","1,085,100","..","3.3","7.1"

Symbol legend:
.., not available for a specific reference period
E, use with caution


"Table Corrections:"
Date,Note
"2014-02-11","The 2012 data for 19 variables at the Atlantic Provinces and/or Prairie Provinces levels have been corrected. Data at the province and Canada level were not affected. The 19 corrected variables are: Any selected disorder (mental or substance), life; Any selected disorder (mental or substance), 12 months; Any mood disorder, life; Major depressive episode, life; Generalized anxiety disorder, life; Any substance use disorder (alcohol or drug), life; Any substance use disorder (alcohol or drug), 12 months; Alcohol abuse or dependence, life; Alcohol abuse or dependence, 12 months; Cannabis use, life; Self-rated work stress, days a bit stressful; Self-rated work stress, days not at all or not very stressful; Perceived need for mental health care, no need; Perceived need for mental health care, all needs met; Perceived mental health, very good or excellent; Perceived mental health, good; Post-traumatic stress disorder, current diagnosed condition; Eating disorder, current diagnosed condition; and Attention deficit disorder, current diagnosed condition."



Footnotes:
1,"Source: Statistics Canada, Mental Health and Access to Care Survey (MHACS), 2022; Canadian Community Health Survey - Mental Health (CCHS), 2012; Canadian Community Health Survey - Mental Health and Well-being (CCHS), 2002."
2,"The Mental Health Surveys cover the population 15 years of age and over living in the ten provinces. Excluded from the surveys' coverage are: persons living on reserves and other Indigenous settlements; full-time members of the Canadian Forces and the institutionalized population. Altogether, these exclusions represent less than 3% of the target population."
3,"All rates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
4,"The 2012 data for 19 variables at the Atlantic Provinces and/or Prairie Provinces levels have been corrected. Data at the province and Canada level were not affected. The 19 corrected variables are: Any selected disorder (mental or substance), life; Any selected disorder (mental or substance), 12 months; Any mood disorder, life; Major depressive episode, life; Generalized anxiety disorder, life; Any substance use disorder (alcohol or drug), life; Any substance use disorder (alcohol or drug), 12 months; Alcohol abuse or dependence, life; Alcohol abuse or dependence, 12 months; Cannabis use, life; Self-rated work stress, days a bit stressful; Self-rated work stress, days not at all or not very stressful; Perceived need for mental health care, no need; Perceived need for mental health care, all needs met; Perceived mental health, very good or excellent; Perceived mental health, good; Post-traumatic stress disorder, current diagnosed condition; Eating disorder, current diagnosed condition; and Attention deficit disorder, current diagnosed condition."
5,"The Mental Health Surveys from 2002 and 2012 were designed to provide reliable estimates at the provincial level. MHACS 2022 was designed to provide reliable estimates at the national level and to sample a sufficient number of individuals to allow for relevant analyses of visible minorities."
6,"Gender was not collected in the 2002 and 2012 surveys. Therefore, the sex variable from 2002 and 2012 and the two-category gender variable from 2022 are combined in this analysis.  Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations. For additional information on changes of concepts over time, please consult the <a href="https://www12.statcan.gc.ca/census-recensement/2021/ref/98-500/014/98-500-x2021014-eng.cfm" rel="external noopener noreferrer" target="_blank">Age, Sex at Birth and Gender Reference Guide (opens new window)</a>. "
7,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories. Unless otherwise indicated in the text, the category “men” includes men, as well as some non-binary persons, while the category “women” includes women, as well as some non-binary persons. A fact sheet on gender concepts, <a href="https://www12.statcan.gc.ca/census-recensement/2021/ref/98-20-0001/982000012021001-eng.cfm" rel="external noopener noreferrer" target="_blank">Filling the gaps: Information on gender in the 2021 Census (opens new window)</a>, is also available. "
8,"Bootstrapping techniques were used to produce the coefficient of variation (CV) and 95% confidence intervals (CIs)."
9,"Data with a coefficient of variation (CV) from 16.6% to 33.3% are identified as follows: (E) use with caution."
10,"Data with a coefficient of variation (CV) greater than 33.3% were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
12,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
13,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
