"Mental health indicators c 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0465-01 (formerly CANSIM 105-1101)"
"Release date: 2024-12-12"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 5","Canada",,,,,
"Age group","Total, 15 years and over",,,,,
"Gender 6 7","Women+",,,,,
"Characteristics 8 9 10 11 12 13 14 15 16 17 18","Number of persons",,,"Percent",,
"Indicators 2","2002","2012","2022","2002","2012","2022"
,"Number",,,"Percent",,
"Any selected disorder (mental or substance), excluding social phobia, life 19 20 21 22 23 24 25 26 27 28 29","..","3,946,855","5,115,700","..","28.2","35.1"
"Any selected disorder (mental or substance), excluding social phobia, 12 months 19 21 22 23 24 25 26 27 28 29 30","..","1,329,468","2,394,700","..","9.6","16.8"
"Any mood disorder, life 19 21 22 31","..","2,144,916","2,864,300","..","15.1","18.4"
"Any mood disorder, 12 months 19 21 22 32","..","913,542","1,582,400","..","6.4","10.2"
"Major depressive episode, life 19 21 33","1,911,243","2,005,158","2,679,700","15.1","14.1","17.1"
"Major depressive episode, 12 months 19 21 34","744,337","827,257","1,461,000","5.9","5.8","9.3"
"Bipolar disorder, life 19 22 35","..","361,360","528,500","..","2.5","3.3"
"Bipolar disorder, 12 months 19 22 36","..","205,204","357,200","..","1.4","2.3"
"Generalized anxiety disorder, life 19 23 37","..","1,611,562","2,580,700","..","11.3","16.6"
"Generalized anxiety disorder, 12 months 19 23 38","..","451,209","1,054,100","..","3.2","6.8"
"Any substance use disorder (alcohol or drug), life 19 24 25 26 27 28 29 39 40","..","1,757,339","2,009,400","..","12.5","13.4"
"Any substance use disorder (alcohol or drug), 12 months 19 24 25 26 27 28 29 40 41","..","347,872","450,000","..","2.5","3.0"
"Alcohol abuse or dependence, life 19 24 25 42","..","1,395,754","1,637,700","..","9.8","10.5"
"Alcohol abuse or dependence, 12 months 19 24 25 43","..","242,243","283,000","..","1.7","1.8"
"Cannabis abuse or dependence, life 19 26 27 40 44","..","550,065","625,500","..","3.9","4.1"
"Cannabis abuse or dependence, 12 months 19 26 27 40 45","..","100,876","144,700","..","0.7","0.9"
"Other drug abuse or dependence (excluding cannabis), life 19 28 29 40 46","..","420,857","393,500","..","3.0","2.5"
"Other drug abuse or dependence (excluding cannabis), 12 months 19 28 29 40 47","..","77,473","57,200","..","0.5","0.4"
"Cannabis use, life 40 48","4,557,775","5,122,534","6,528,900","35.9","35.8","40.7"
"Cannabis use, 12 months 40 49","1,152,872","1,192,863","2,987,900","9.1","8.3","18.6"
"Other drug use (excluding cannabis), life 40 50","..","2,672,332","3,299,500","..","18.7","20.6"
"Other drug use (excluding cannabis), 12 months 40 51","..","864,044","968,000","..","6.1","6.2"
"Suicidal thoughts, life 52","1,838,083","1,885,812","1,984,400","14.5","13.2","12.4"
"Suicidal thoughts, 12 months 53","479,311","496,224","643,300","3.8","3.5","4.0"
"Perceived mental health, very good or excellent 54","8,275,294","9,091,644","8,057,100","65.1","63.4","50.0"
"Perceived mental health, good 54","3,454,029","3,958,742","5,400,200","27.2","27.6","33.5"
"Perceived mental health, fair or poor 54","972,674","1,296,493","2,667,300","7.7","9.0","16.5"
"Self-rated work stress, days quite a bit or extremely stressful 55","2,709,932","2,769,459","3,301,400","32.8","29.8","32.5"
"Self-rated work stress, days a bit stressful 55","3,162,912","3,780,500","4,226,600","38.3","40.6","41.6"
"Self-rated work stress, days not at all or not very stressful 55","2,386,832","2,757,487","2,642,100","28.9","29.6","26.0"
"Perceived need for mental health care, no need 56","..","11,222,938","10,670,100","..","78.5","68.9"
"Perceived need for mental health care, all needs met 56","..","2,052,664","2,695,000","..","14.4","17.4"
"Perceived need for mental health care, needs partially met 56","..","660,553","1,366,900","..","4.6","8.8"
"Perceived need for mental health care, need not met 56","..","359,911","744,100","..","2.5","4.8"
"Mental health services, professional consultation/service used, 12 months 57","..","1,944,569","3,416,400","..","13.6","21.4"
"Schizophrenia or psychosis, ever received diagnosis 58","..","190,490","283,200","..","1.3","1.8"
"Post-traumatic stress disorder, current diagnosed condition 59","147,305","339,503","678,800","1.2","2.4","4.2"
"Eating disorder, current diagnosed condition 60","102,761","85,773E","195,700","0.8","0.6E","1.2"
"Attention deficit disorder, current diagnosed condition 61","..","282,018","878,400","..","2.0","5.5"

Symbol legend:
.., not available for a specific reference period
E, use with caution


"Table Corrections:"
Date,Note
"2014-02-11","The 2012 data for 19 variables at the Atlantic Provinces and/or Prairie Provinces levels have been corrected. Data at the province and Canada level were not affected. The 19 corrected variables are: Any selected disorder (mental or substance), life; Any selected disorder (mental or substance), 12 months; Any mood disorder, life; Major depressive episode, life; Generalized anxiety disorder, life; Any substance use disorder (alcohol or drug), life; Any substance use disorder (alcohol or drug), 12 months; Alcohol abuse or dependence, life; Alcohol abuse or dependence, 12 months; Cannabis use, life; Self-rated work stress, days a bit stressful; Self-rated work stress, days not at all or not very stressful; Perceived need for mental health care, no need; Perceived need for mental health care, all needs met; Perceived mental health, very good or excellent; Perceived mental health, good; Post-traumatic stress disorder, current diagnosed condition; Eating disorder, current diagnosed condition; and Attention deficit disorder, current diagnosed condition."



Footnotes:
1,"Source: Statistics Canada, Mental Health and Access to Care Survey (MHACS), 2022; Canadian Community Health Survey - Mental Health (CCHS), 2012; Canadian Community Health Survey - Mental Health and Well-being (CCHS), 2002."
2,"The Mental Health Surveys cover the population 15 years of age and over living in the ten provinces. Excluded from the surveys' coverage are: persons living on reserves and other Indigenous settlements; full-time members of the Canadian Forces and the institutionalized population. Altogether, these exclusions represent less than 3% of the target population."
3,"All rates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
4,"The 2012 data for 19 variables at the Atlantic Provinces and/or Prairie Provinces levels have been corrected. Data at the province and Canada level were not affected. The 19 corrected variables are: Any selected disorder (mental or substance), life; Any selected disorder (mental or substance), 12 months; Any mood disorder, life; Major depressive episode, life; Generalized anxiety disorder, life; Any substance use disorder (alcohol or drug), life; Any substance use disorder (alcohol or drug), 12 months; Alcohol abuse or dependence, life; Alcohol abuse or dependence, 12 months; Cannabis use, life; Self-rated work stress, days a bit stressful; Self-rated work stress, days not at all or not very stressful; Perceived need for mental health care, no need; Perceived need for mental health care, all needs met; Perceived mental health, very good or excellent; Perceived mental health, good; Post-traumatic stress disorder, current diagnosed condition; Eating disorder, current diagnosed condition; and Attention deficit disorder, current diagnosed condition."
5,"The Mental Health Surveys from 2002 and 2012 were designed to provide reliable estimates at the provincial level. MHACS 2022 was designed to provide reliable estimates at the national level and to sample a sufficient number of individuals to allow for relevant analyses of visible minorities."
6,"Gender was not collected in the 2002 and 2012 surveys. Therefore, the sex variable from 2002 and 2012 and the two-category gender variable from 2022 are combined in this analysis.  Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations. For additional information on changes of concepts over time, please consult the <a href="https://www12.statcan.gc.ca/census-recensement/2021/ref/98-500/014/98-500-x2021014-eng.cfm" rel="external noopener noreferrer" target="_blank">Age, Sex at Birth and Gender Reference Guide (opens new window)</a>. "
7,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories. Unless otherwise indicated in the text, the category “men” includes men, as well as some non-binary persons, while the category “women” includes women, as well as some non-binary persons. A fact sheet on gender concepts, <a href="https://www12.statcan.gc.ca/census-recensement/2021/ref/98-20-0001/982000012021001-eng.cfm" rel="external noopener noreferrer" target="_blank">Filling the gaps: Information on gender in the 2021 Census (opens new window)</a>, is also available. "
8,"Bootstrapping techniques were used to produce the coefficient of variation (CV) and 95% confidence intervals (CIs)."
9,"Data with a coefficient of variation (CV) from 16.6% to 33.3% are identified as follows: (E) use with caution."
10,"Data with a coefficient of variation (CV) greater than 33.3% were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
11,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
12,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
13,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
